led,intensity,S,M,L,Rods,Mel
5,2860,3.795869889088231e-07,8.591945627903714e-06,7.2047669159050145e-06,8.048068429375806e-06,5.967749051106803e-06
5,2925,3.842931299837534e-07,8.704560799250913e-06,7.298123742115265e-06,8.157517449408271e-06,6.050947373035928e-06
5,2990,4.0732377924874316e-07,8.988535552830942e-06,7.536289215634273e-06,8.433008988833458e-06,6.260995860559256e-06
5,3055,4.099350212062813e-07,9.039219013226906e-06,7.579557717773423e-06,8.480186448584325e-06,6.2966078597553685e-06
5,3120,4.1270442544071955e-07,9.127350787110904e-06,7.650781234364615e-06,8.570184904723813e-06,6.367210668885445e-06
5,3185,4.208690811247725e-07,9.308598545596717e-06,7.801900548930937e-06,8.743338194978005e-06,6.497204006445418e-06
5,3250,4.3054279761675214e-07,9.523855782363676e-06,7.980270615034452e-06,8.951300685376718e-06,6.6548780469690165e-06
5,3315,4.3843427409496704e-07,9.676571956015661e-06,8.108167180440628e-06,9.096005496909503e-06,6.763624751757458e-06
5,3380,4.4291195638085867e-07,9.782932065345189e-06,8.198168264041325e-06,9.196917218213082e-06,6.840554355616111e-06
5,3445,4.5039545438727975e-07,9.963098575153422e-06,8.346637951167178e-06,9.372370394045846e-06,6.973789672618739e-06
5,3510,4.561984334800109e-07,1.0098951927418726e-05,8.46077035169555e-06,9.499996207833411e-06,7.069589982922798e-06
5,3575,4.78659246218767e-07,1.0285499346851393e-05,8.618502222308125e-06,9.685526167590861e-06,7.214167524514079e-06
5,3640,4.7570256112469027e-07,1.0283284076835654e-05,8.61430241539935e-06,9.687514695803361e-06,7.217260950243952e-06
5,3705,4.890250505000346e-07,1.0540856911570328e-05,8.8312771346178e-06,9.930836419196948e-06,7.400536378441328e-06
5,3770,4.912585105072889e-07,1.0576844973795951e-05,8.859025732281485e-06,9.971709508560056e-06,7.4340681911884e-06
5,3835,5.012884666659418e-07,1.0787008619539236e-05,9.034520435774071e-06,1.0173314886570392e-05,7.587062326643393e-06
5,3900,5.143377484525365e-07,1.1024553849535443e-05,9.233630246967856e-06,1.0400382520743075e-05,7.759975817284236e-06
5,3965,5.26384661661204e-07,1.1225151076058053e-05,9.39657720160972e-06,1.0607669103798487e-05,7.923943295567137e-06
