rmv,LEDs_temp,drivers_temp,board_temp,micro_temp,integration_time,input_power,dimming_level,led,intensity
0.006996971,25.56,26.19,29.29,33.96,767,2514,100,3,910
0.01746244,25.92,26.19,29.44,34.84,759,4921,100,3,2665
0.010855899,27.09,26.19,29.33,34.55,790,8630,100,6,1885
0.029716028,27.62,26.15,29.55,34.26,543,3601,100,0,2405
0.017642807,25.4,26.07,29.59,34.55,784,2753,100,8,1755
0.044866461,25.4,26.07,29.52,34.55,378,4818,100,0,3705
0.030130021,25.4,26.31,29.48,34.26,542,3729,100,0,2470
0.018536216,25.68,26.19,29.37,34.84,805,5174,100,3,2860
0.020504519,26.62,26.03,29.55,34.84,821,2939,100,8,2080
0.016111474,25.4,26.19,29.52,34.55,769,7201,100,5,3055
0.018979089,26.7,25.95,29.52,34.26,757,8498,100,5,3705
0.021837683,27.32,26.07,29.48,34.55,767,3149,100,8,2210
0.010307427,25.64,26.07,29.52,33.96,769,3495,100,4,1235
0.018042155,25.52,26.15,29.48,34.55,757,2839,100,9,1235
0.016024517,25.44,26.31,29.55,34.55,763,2699,100,9,1105
0.011109173,25.36,26.07,29.7,34.84,923,2199,100,1,780
0.008147513,25.28,26.23,29.63,35.13,768,6721,100,6,1430
0.03803004,26.82,26.03,29.55,34.26,480,4538,100,1,3315
0.020128231,25.56,25.99,29.55,34.55,751,3008,100,9,1365
0.005782498,25.48,25.95,29.55,34.55,799,2031,100,2,455
0.019725425,25.04,25.99,29.63,34.55,804,2983,100,9,1300
0.034251247,25.76,25.95,29.59,34.26,581,18283,100,7,3835
0.040882576,29.39,26.39,29.55,34.26,724,4930,100,9,2925
0.021760415,27.09,26.46,29.59,34.55,746,4865,100,2,2600
0.002121793,25.8,26.39,29.59,35.13,965,1578,100,2,195
0.000245119,24.88,26.19,29.59,34.84,1120,1436,100,7,130
0.030186616,24.64,25.95,29.55,34.55,244,3573,100,0,2340
